iter	Passed	Remaining
411	3719	5308
412	3729	5301
413	3739	5292
414	3748	5283
415	3757	5274
416	3767	5266
417	3776	5257
418	3786	5250
419	3795	5241
420	3805	5233
421	3815	5225
422	3824	5217
423	3834	5209
424	3844	5201
425	3853	5192
426	3862	5183
427	3871	5173
428	3881	5165
429	3890	5157
430	3899	5148
431	3909	5140
432	3919	5132
433	3928	5123
434	3937	5114
435	3947	5105
436	3955	5096
437	3964	5087
438	3974	5079
439	3983	5069
440	3993	5061
441	4002	5053
442	4012	5044
443	4021	5035
444	4030	5027
445	4040	5018
446	4050	5010
447	4059	5002
448	4069	4994
449	4079	4985
450	4089	4978
451	4099	4970
452	4109	4961
453	4119	4953
454	4127	4944
455	4136	4935
456	4145	4925
457	4154	4916
458	4164	4908
459	4173	4898
460	4180	4887
461	4188	4878
462	4198	4868
463	4206	4859
464	4215	4850
465	4224	4841
466	4234	4832
467	4242	4822
468	4251	4813
469	4261	4805
470	4269	4795
471	4279	4787
472	4289	4778
473	4299	4770
474	4308	4762
475	4317	4752
476	4326	4743
477	4335	4734
478	4345	4726
479	4354	4717
480	4364	4709
481	4374	4700
482	4383	4692
483	4392	4683
484	4402	4674
485	4411	4666
486	4421	4657
487	4430	4648
488	4440	4640
489	4450	4631
490	4459	4622
491	4468	4613
492	4477	4604
493	4485	4594
494	4494	4585
495	4503	4575
496	4512	4566
497	4520	4556
498	4529	4547
499	4539	4539
500	4549	4531
501	4559	4523
502	4569	4514
503	4578	4505
504	4587	4496
505	4596	4487
506	4606	4479
507	4616	4470
508	4625	4461
509	4634	4453
510	4644	4444
511	4653	4435
512	4663	4426
513	4672	4418
514	4681	4408
515	4690	4399
516	4699	4390
517	4708	4381
518	4717	4372
519	4726	4363
520	4737	4355
521	4747	4347
522	4757	4339
523	4767	4330
524	4776	4321
525	4786	4313
526	4795	4304
527	4804	4294
528	4814	4286
529	4823	4277
530	4834	4269
531	4843	4260
532	4853	4252
533	4862	4243
534	4872	4234
535	4881	4225
536	4890	4216
537	4899	4207
538	4909	4198
539	4919	4190
540	4929	4182
541	4938	4173
542	4948	4164
543	4957	4155
544	4966	4145
545	4974	4136
546	4984	4127
547	4993	4118
548	5003	4110
549	5013	4102
550	5023	4093
551	5032	4084
552	5042	4076
553	5052	4067
554	5061	4058
555	5071	4049
556	5080	4040
557	5090	4032
558	5099	4023
559	5109	4014
560	5116	4003
561	5125	3994
562	5135	3985
563	5144	3976
564	5152	3967
565	5161	3957
566	5170	3948
567	5180	3939
568	5190	3931
569	5200	3923
570	5209	3913
571	5218	3904
572	5227	3895
573	5237	3886
574	5245	3877
575	5255	3868
576	5263	3859
577	5273	3850
578	5283	3841
579	5293	3833
580	5302	3824
581	5312	3815
582	5321	3806
583	5330	3797
584	5339	3788
585	5349	3779
586	5358	3769
587	5367	3761
588	5378	3752
589	5387	3743
590	5397	3735
591	5406	3726
592	5416	3717
593	5425	3708
594	5434	3699
595	5444	3690
596	5453	3681
597	5462	3672
598	5472	3663
599	5481	3654
600	5490	3645
601	5499	3635
602	5508	3626
603	5517	3617
604	5523	3606
605	5532	3596
606	5542	3588
607	5551	3579
608	5561	3570
609	5571	3562
610	5579	3551
611	5588	3543
612	5598	3534
613	5607	3524
614	5616	3515
615	5625	3506
616	5634	3497
617	5642	3488
618	5652	3479
619	5661	3470
620	5671	3461
621	5680	3452
622	5689	3443
623	5699	3434
624	5708	3424
625	5718	3416
626	5726	3406
627	5736	3398
628	5744	3388
629	5754	3379
630	5765	3371
631	5774	3362
632	5784	3353
633	5794	3345
634	5804	3336
635	5812	3326
636	5822	3317
637	5830	3308
638	5839	3299
639	5849	3290
640	5860	3282
641	5869	3272
642	5877	3263
643	5887	3254
644	5897	3245
645	5906	3236
646	5916	3228
647	5925	3218
648	5934	3209
649	5944	3200
650	5953	3191
651	5961	3182
652	5971	3173
653	5980	3164
654	5989	3154
655	5998	3145
656	6008	3136
657	6017	3127
658	6026	3118
659	6037	3110
660	6046	3101
661	6056	3092
662	6066	3083
663	6075	3074
664	6085	3065
665	6094	3056
666	6102	3046
667	6111	3037
668	6120	3028
669	6130	3019
670	6139	3010
671	6148	3000
672	6157	2991
673	6166	2982
674	6176	2973
675	6185	2964
676	6194	2955
677	6203	2946
678	6213	2937
679	6223	2928
680	6232	2919
681	6241	2910
682	6250	2901
683	6260	2892
684	6269	2883
685	6278	2873
686	6288	2864
687	6297	2855
688	6307	2847
689	6317	2838
690	6326	2829
691	6335	2819
692	6345	2810
693	6354	2802
694	6364	2792
695	6373	2783
696	6383	2774
697	6392	2765
698	6403	2757
699	6412	2748
700	6421	2739
701	6431	2730
702	6441	2721
703	6451	2712
704	6461	2703
705	6469	2694
706	6479	2685
707	6488	2676
708	6497	2666
709	6506	2657
710	6516	2648
711	6526	2639
712	6536	2630
713	6545	2621
714	6555	2613
715	6565	2604
716	6574	2594
717	6584	2585
718	6593	2576
719	6603	2567
720	6612	2558
721	6622	2549
722	6631	2540
723	6640	2531
724	6650	2522
725	6660	2513
726	6668	2504
727	6678	2495
728	6688	2486
729	6698	2477
730	6707	2468
731	6716	2458
732	6725	2449
733	6734	2440
734	6743	2431
735	6752	2422
736	6762	2413
737	6771	2404
738	6781	2395
739	6790	2386
740	6800	2376
741	6809	2367
742	6819	2358
743	6828	2349
744	6838	2340
745	6847	2331
746	6856	2322
747	6866	2313
748	6877	2304
749	6886	2295
750	6896	2286
751	6904	2276
752	6913	2267
753	6922	2258
754	6932	2249
755	6941	2240
756	6950	2231
757	6960	2222
758	6970	2213
759	6980	2204
760	6989	2195
761	6998	2185
762	7007	2176
763	7015	2167
764	7025	2158
765	7033	2148
766	7043	2139
767	7053	2130
768	7063	2121
769	7072	2112
770	7080	2103
771	7089	2093
772	7098	2084
773	7108	2075
774	7117	2066
775	7126	2057
776	7136	2048
777	7145	2038
778	7154	2029
779	7163	2020
780	7173	2011
781	7182	2002
782	7191	1993
783	7201	1984
784	7210	1974
785	7219	1965
786	7229	1956
787	7239	1947
788	7248	1938
789	7257	1929
790	7265	1919
791	7274	1910
792	7284	1901
793	7292	1892
794	7302	1882
795	7311	1873
796	7321	1864
797	7329	1855
798	7339	1846
799	7348	1837
800	7357	1827
801	7366	1818
802	7375	1809
803	7384	1800
804	7394	1791
805	7404	1782
806	7414	1773
807	7423	1763
808	7431	1754
809	7441	1745
810	7451	1736
811	7460	1727
812	7469	1717
813	7476	1708
814	7483	1698
815	7493	1689
816	7502	1680
817	7511	1671
818	7520	1662
819	7529	1652
820	7538	1643
821	7547	1634
822	7557	1625
823	7566	1616
824	7575	1606
825	7584	1597
826	7593	1588
827	7603	1579
828	7612	1570
829	7622	1561
830	7631	1552
831	7640	1542
832	7649	1533
833	7658	1524
834	7667	1515
835	7676	1505
836	7686	1496
837	7696	1487
838	7705	1478
839	7715	1469
840	7724	1460
841	7733	1451
842	7743	1442
843	7752	1432
844	7762	1423
845	7771	1414
846	7780	1405
847	7791	1396
848	7800	1387
849	7810	1378
850	7819	1369
851	7828	1359
852	7837	1350
853	7848	1341
854	7857	1332
855	7867	1323
856	7877	1314
857	7886	1305
858	7896	1296
859	7906	1287
860	7915	1277
861	7923	1268
862	7930	1259
863	7940	1249
864	7949	1240
865	7959	1231
866	7969	1222
867	7978	1213
868	7988	1204
869	7997	1194
870	8006	1185
871	8016	1176
872	8024	1167
873	8034	1158
874	8043	1149
875	8052	1139
876	8062	1130
877	8070	1121
878	8079	1112
879	8088	1102
880	8097	1093
881	8107	1084
882	8116	1075
883	8125	1066
884	8134	1057
885	8144	1047
886	8154	1038
