iter	RMSE
206	1917.836959
207	1915.665956
208	1914.287667
209	1912.570403
210	1911.208712
211	1910.49393
212	1908.535892
213	1907.254981
214	1905.686263
215	1903.607257
216	1902.315269
217	1901.098799
218	1899.901365
219	1898.831406
220	1897.969133
221	1896.649345
222	1895.374355
223	1893.524436
224	1891.614495
225	1889.974426
226	1887.677577
227	1885.569175
228	1884.095467
229	1883.945669
230	1883.087753
231	1881.600663
232	1880.408414
233	1879.357217
234	1878.362466
235	1876.758099
236	1875.74955
237	1874.73422
238	1873.447969
239	1872.356167
240	1871.052149
241	1869.773606
242	1867.694505
243	1865.524464
244	1864.363578
245	1863.280751
246	1861.249298
247	1859.820984
248	1858.722434
249	1857.626282
250	1856.504047
251	1855.327313
252	1854.430417
253	1853.097113
254	1852.283583
255	1852.09235
256	1849.905682
257	1848.809145
258	1847.950096
259	1847.765382
260	1846.809216
261	1845.35233
262	1843.74258
263	1843.128233
264	1842.164793
265	1840.940032
266	1840.315946
267	1840.149578
268	1838.988431
269	1838.832071
270	1837.290917
271	1836.586439
272	1835.427328
273	1835.321529
274	1834.659871
275	1832.893823
276	1832.79293
277	1831.224449
278	1830.107585
279	1828.862908
280	1827.481654
281	1825.949355
282	1823.826392
283	1823.239623
284	1822.600388
285	1821.604345
286	1820.464355
287	1819.200429
288	1818.577044
289	1817.664508
290	1816.202051
291	1814.74201
292	1814.108112
293	1813.105763
294	1811.529646
295	1811.017463
296	1809.564279
297	1808.704272
298	1807.941613
299	1806.903636
300	1805.919003
301	1804.944881
302	1803.264237
303	1802.707433
304	1802.122684
305	1800.923214
306	1799.957999
307	1798.973443
308	1798.312997
309	1797.627644
310	1796.399268
311	1795.89496
312	1794.088605
313	1793.186655
314	1792.35869
315	1791.224938
316	1789.507502
317	1788.470256
318	1787.923771
319	1786.488422
320	1785.331525
321	1784.078524
322	1783.549494
323	1782.671264
324	1782.052925
325	1781.297704
326	1780.522504
327	1780.001457
328	1778.322205
329	1777.465197
330	1776.243026
331	1775.748232
332	1774.345767
333	1773.76224
334	1772.759559
335	1771.738767
336	1770.565482
337	1769.38331
338	1768.67853
339	1767.6297
340	1766.594681
341	1766.16342
342	1765.574778
343	1764.92736
344	1764.005922
345	1763.159458
346	1762.54397
347	1761.191729
348	1760.585458
349	1760.132483
350	1758.812867
351	1758.066801
352	1757.075401
353	1756.143486
354	1755.810032
355	1754.750621
356	1754.470279
357	1753.944216
358	1753.504978
359	1752.888768
360	1752.476344
361	1751.146931
362	1750.365502
363	1749.942501
364	1748.503601
365	1748.098191
366	1746.877288
367	1746.30712
368	1745.367976
369	1744.055655
370	1743.319512
371	1742.382798
372	1742.292036
373	1741.301822
374	1739.896676
375	1739.507924
376	1738.578925
377	1737.567014
378	1736.765491
379	1735.846265
380	1735.148504
381	1733.346759
382	1732.799198
383	1731.887732
384	1730.699017
385	1729.995374
386	1729.100129
387	1728.58567
388	1727.102058
389	1726.574085
390	1725.979867
391	1725.223159
392	1724.377327
393	1724.2851
394	1722.785414
395	1721.974755
396	1721.716298
397	1720.979151
398	1719.925796
399	1718.641618
400	1717.919558
401	1717.445689
402	1716.49476
403	1715.221081
404	1714.954372
405	1714.869864
406	1713.758134
407	1712.746491
408	1712.042859
409	1711.442572
410	1710.642033
411	1710.083758
412	1709.190489
413	1708.584163
414	1708.526178
415	1707.457095
416	1706.006747
417	1705.240045
418	1704.374182
419	1704.300075
420	1703.397397
421	1702.919217
422	1702.543797
423	1701.983398
424	1701.495062
425	1701.24981
426	1700.430671
427	1699.577716
428	1698.772107
429	1697.883663
430	1696.956589
431	1696.36767
432	1695.616935
433	1694.685729
434	1693.760864
435	1692.607626
436	1692.30009
437	1691.894708
438	1691.163574
439	1690.66453
440	1690.019544
441	1689.41201
442	1688.900346
443	1688.175732
444	1686.868721
445	1686.140225
446	1685.530035
447	1684.875339
448	1683.946724
449	1682.884702
450	1682.558049
451	1681.980045
452	1681.396921
453	1680.666452
454	1680.061867
455	1679.366772
456	1678.904891
457	1678.603082
458	1677.444113
459	1676.303141
460	1675.450528
461	1674.978207
462	1673.943498
463	1673.174443
464	1672.386473
465	1671.868489
466	1670.916803
467	1670.130351
468	1668.893786
469	1668.153207
470	1666.988738
471	1666.607347
472	1665.849045
473	1665.546687
474	1664.959489
475	1664.524454
476	1663.793576
477	1663.604781
478	1662.645204
479	1662.330412
480	1662.008342
481	1661.28539
482	1660.86618
483	1660.281097
484	1659.651615
485	1659.196621
486	1658.855308
487	1658.357341
488	1658.111095
489	1657.191969
490	1656.842708
491	1656.099578
492	1655.220995
493	1654.656285
494	1653.884713
495	1653.563112
496	1653.195065
497	1652.322989
498	1651.973894
499	1651.341852
500	1651.076134
501	1650.461661
502	1649.843592
503	1649.418201
504	1648.570535
505	1647.743
506	1647.126962
507	1646.735849
508	1646.005886
509	1645.32695
510	1644.85733
511	1643.875316
512	1642.969924
513	1642.843192
514	1642.246493
515	1641.245921
516	1640.364359
517	1639.804587
518	1639.36598
519	1639.176936
520	1638.754519
521	1638.338658
522	1637.822162
523	1637.466158
524	1637.307726
525	1636.961769
526	1636.654957
527	1636.346734
528	1635.924634
529	1635.053541
530	1634.578072
531	1633.89923
532	1633.296053
533	1632.761882
534	1632.180652
535	1631.361745
536	1631.199087
537	1630.578045
538	1629.636547
539	1629.367326
540	1629.007809
541	1628.675512
542	1628.339761
543	1627.964143
544	1627.608605
545	1627.392404
546	1626.508873
547	1625.760117
548	1625.164478
549	1624.564015
550	1624.108888
551	1623.351259
552	1622.933703
553	1622.269875
554	1621.264395
555	1620.645825
556	1620.099036
557	1619.563573
558	1618.880641
559	1618.397992
560	1617.861966
561	1617.713851
562	1617.261416
563	1616.672059
564	1616.205643
565	1616.101065
566	1615.825065
567	1615.538468
568	1615.070815
569	1614.310686
570	1613.343607
571	1612.842659
572	1612.575072
573	1612.362729
574	1612.067518
575	1611.732569
576	1611.071582
577	1610.748142
578	1610.218809
579	1610.053264
580	1609.851457
581	1609.429082
582	1609.267478
583	1609.166567
584	1608.779227
585	1608.646592
586	1608.114357
587	1607.085527
588	1606.555879
589	1606.181357
590	1606.008209
591	1605.469403
592	1605.188252
593	1604.371386
594	1604.153548
595	1603.221455
596	1602.959958
597	1602.478344
598	1602.384752
599	1602.064778
600	1601.952383
601	1601.355418
602	1601.263572
603	1600.845752
604	1599.68129
605	1599.228685
606	1598.666597
607	1598.597176
608	1598.2039
609	1597.609532
610	1596.928188
611	1596.322602
612	1596.021779
613	1595.695064
614	1594.647351
615	1593.531575
616	1593.069567
617	1592.21032
618	1591.916866
619	1591.173148
620	1590.635841
621	1590.096413
622	1589.849596
623	1589.028859
624	1588.585086
625	1588.052321
626	1587.436706
627	1586.950954
628	1586.5657
629	1586.411657
630	1585.947963
631	1585.435137
632	1585.035537
633	1584.599846
634	1583.989732
635	1583.508678
636	1582.902387
637	1582.205967
638	1581.441235
639	1581.086559
640	1580.385363
641	1580.26966
642	1579.479239
643	1578.711213
644	1577.841162
645	1577.006467
646	1576.54181
647	1576.293077
648	1576.125107
649	1575.90537
650	1575.26535
651	1574.871003
652	1574.062344
653	1573.566485
654	1573.102814
655	1572.361166
656	1572.240244
657	1571.79922
658	1571.673681
659	1570.891527
660	1570.776288
661	1570.382906
662	1569.765536
663	1569.361567
664	1568.619234
665	1567.873881
666	1567.48862
667	1566.890595
668	1566.734908
669	1566.270219
670	1565.634328
671	1565.09341
672	1564.975112
673	1564.453761
674	1563.760947
675	1563.37954
676	1562.974763
677	1562.313008
678	1562.146056
679	1561.847052
680	1561.73814
681	1560.832246
682	1560.407794
683	1559.873061
684	1559.812138
685	1559.446219
686	1559.164239
687	1558.864387
688	1558.336739
689	1558.234941
690	1557.851991
691	1557.750627
692	1557.621703
693	1557.345527
694	1556.599063
695	1556.309412
696	1556.051119
697	1555.971912
698	1555.654129
699	1555.514867
700	1555.116261
701	1554.6546
702	1554.296774
703	1553.71194
704	1553.220863
705	1552.838661
706	1552.468068
707	1552.264845
708	1551.827256
709	1551.334794
710	1551.031755
711	1550.740853
712	1550.426981
713	1550.048783
714	1549.864442
715	1549.441684
716	1549.084456
717	1548.763183
718	1548.603772
719	1548.219924
720	1547.578271
721	1547.242948
722	1546.669201
723	1546.265823
724	1545.86359
725	1545.783079
726	1545.466679
727	1545.296501
728	1544.651849
729	1544.306753
730	1544.221162
731	1543.762882
732	1542.798024
733	1542.413935
734	1542.238919
735	1541.850459
736	1541.621408
737	1541.54415
738	1541.289088
739	1540.724556
740	1540.533704
741	1540.313733
742	1539.900032
743	1539.841981
744	1539.015911
745	1538.690197
746	1538.175333
747	1538.11357
748	1537.304676
749	1536.976759
750	1536.554299
751	1536.36096
752	1536.157817
753	1535.840593
754	1535.782732
755	1535.313231
756	1535.00632
757	1534.78107
758	1534.718733
759	1534.497559
760	1534.107773
761	1533.359122
762	1533.090627
763	1532.22216
764	1531.965655
765	1531.498323
766	1531.426843
767	1531.207868
768	1531.152643
769	1530.763811
770	1530.58163
771	1529.995143
772	1529.616759
773	1529.576186
774	1529.40178
775	1528.89502
776	1528.541097
777	1528.110005
778	1527.927252
779	1527.764588
780	1527.02596
781	1526.835303
782	1526.631013
783	1526.413253
784	1526.288029
785	1525.653443
786	1525.185838
787	1524.831858
788	1524.427541
789	1524.131851
790	1523.630611
791	1523.306522
792	1522.933563
793	1522.435753
794	1521.939184
795	1521.190363
796	1520.681028
797	1520.3513
798	1520.025862
799	1519.71321
800	1519.500011
801	1519.280119
802	1518.764349
803	1518.718639
804	1518.578503
805	1518.215575
806	1517.97289
807	1517.666802
808	1517.351475
809	1517.065982
810	1516.687137
811	1516.059315
812	1515.834742
813	1515.708072
814	1515.192066
815	1515.1051
816	1514.611511
817	1514.193078
818	1513.852307
819	1513.463754
820	1513.191792
821	1512.8823
822	1512.425063
823	1512.293814
824	1511.797302
825	1511.43404
826	1511.205746
827	1510.951531
828	1510.714461
829	1509.792864
830	1509.748143
831	1509.560021
832	1509.481327
833	1509.203214
834	1509.012812
835	1508.931657
836	1508.271123
837	1508.130693
838	1508.020668
839	1508.00919
840	1507.581484
841	1507.253115
842	1506.697473
843	1506.354634
844	1505.850929
845	1505.698351
846	1505.675966
847	1505.091498
848	1504.467909
849	1504.248235
850	1503.94117
851	1503.760951
852	1503.177589
853	1502.776716
854	1502.602635
855	1502.194179
856	1501.877585
857	1501.66763
858	1501.374357
859	1501.082688
860	1500.734323
861	1500.516977
862	1499.924623
863	1499.69847
864	1499.46859
865	1499.109932
866	1498.927099
867	1498.689722
868	1498.493092
869	1497.976999
870	1497.606731
871	1497.141067
872	1496.990964
873	1496.53579
874	1495.934197
875	1495.686524
876	1495.2287
877	1494.795502
878	1494.191752
879	1493.855046
880	1493.299672
881	1492.866474
882	1492.252919
883	1492.014993
884	1491.742588
885	1491.421327
886	1491.001663
887	1490.592933
888	1490.230442
889	1489.965606
890	1489.751583
891	1489.06432
892	1488.746648
893	1488.59071
894	1488.22774
895	1487.436115
896	1487.070368
897	1486.575848
898	1486.313379
899	1486.027076
900	1485.612494
901	1485.363699
902	1484.757195
903	1484.613769
904	1484.190352
905	1483.978308
906	1483.857009
907	1483.715925
908	1483.205609
909	1482.958133
910	1482.24821
911	1482.049965
912	1481.532185
913	1480.989778
914	1480.645969
915	1480.444647
916	1479.892441
917	1479.665719
918	1479.352238
919	1479.10767
920	1478.742372
921	1478.19271
922	1477.677522
923	1477.333708
924	1476.92323
925	1476.82217
926	1476.248701
927	1475.642404
928	1475.233187
929	1474.334915
930	1473.88307
931	1473.665688
932	1473.452958
933	1473.273125
934	1473.064007
935	1472.715618
936	1472.428947
937	1471.897191
938	1471.327429
939	1471.141888
940	1471.109182
941	1470.596727
942	1470.048804
943	1469.484575
944	1468.525538
945	1468.024316
946	1467.744697
947	1467.532402
948	1467.367687
949	1467.031867
950	1466.899746
951	1466.720094
952	1465.53972
953	1465.306133
954	1464.924065
955	1464.605154
956	1464.225301
957	1464.060993
958	1463.833694
959	1463.492488
960	1463.147496
961	1462.808251
962	1462.528197
963	1462.315831
964	1461.658699
965	1461.486388
966	1461.129354
967	1460.932687
968	1460.769372
969	1460.638333
970	1460.418315
971	1460.117304
972	1459.427644
973	1459.371787
974	1459.352564
975	1458.857285
976	1458.736013
977	1458.70603
978	1458.594767
979	1458.1328
980	1457.930573
981	1457.514915
982	1457.160935
983	1457.08498
984	1456.838156
985	1456.500389
986	1456.149878
987	1455.982272
988	1455.626658
989	1455.39535
990	1455.33719
991	1455.150602
992	1454.924809
993	1454.739025
994	1454.441897
995	1454.281716
996	1453.749479
997	1453.266003
998	1453.151273
999	1453.007188
